date,state,fips,case,death,state_iso_a2,longitude,latitude,source,iso_a3
2020-02-19,Texas,48,2,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-19,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-19,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-20,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-20,California,6,8,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-20,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-20,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-20,Nebraska,31,11,0,NE,-99.901813,41.492537,nyt,USA
2020-02-20,Texas,48,2,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-20,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-20,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-21,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-21,California,6,9,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-21,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-21,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-21,Nebraska,31,11,0,NE,-99.901813,41.492537,nyt,USA
2020-02-21,Texas,48,4,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-21,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-21,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-22,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-22,California,6,9,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-22,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-22,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-22,Nebraska,31,11,0,NE,-99.901813,41.492537,nyt,USA
2020-02-22,Texas,48,4,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-22,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-22,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-23,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-23,California,6,9,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-23,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-23,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-23,Nebraska,31,11,0,NE,-99.901813,41.492537,nyt,USA
2020-02-23,Texas,48,4,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-23,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-23,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-24,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-24,California,6,11,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-24,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-24,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
